dim,kary,level,vertices,edges,operator_position,algorithm,treewidth,time
1,2,7,90,151,0-22,meiji-e,9,6.141
1,2,10,150,252,0-822,meiji-e,8,6.181
1,2,10,97,164,74,meiji-e,8,3.805
1,2,10,97,164,506,meiji-e,8,3.343
1,2,10,150,252,0-718,meiji-e,8,3.827
1,2,10,97,164,566,meiji-e,8,3.824
1,2,9,118,197,0-480,meiji-e,8,2.1
1,2,10,97,164,26,meiji-e,8,3.471
1,2,7,67,113,111,meiji-e,8,2.113
1,2,10,150,252,0-875,meiji-e,8,3.965
1,2,10,89,150,793,meiji-e,8,2.58
1,2,6,80,134,0-18,meiji-e,9,3.742
1,2,8,100,168,0-23,meiji-e,9,10.135
1,2,10,150,252,0-835,meiji-e,8,4.298
1,2,10,97,164,351,meiji-e,8,3.19
1,2,10,140,235,0-333,meiji-e,9,10.562
1,2,10,97,164,323,meiji-e,8,3.887
1,2,8,118,198,0-211,meiji-e,8,3.286
1,2,10,124,207,0-321,meiji-e,9,4.218
1,2,10,120,202,0-23,meiji-e,9,12.491
1,2,10,150,252,0-727,meiji-e,8,5.792
1,2,10,97,164,218,meiji-e,8,2.87
1,2,8,118,198,0-243,meiji-e,8,3.601
1,2,8,77,130,166,meiji-e,8,2.294
1,2,10,132,221,0-336,meiji-e,9,5.952
1,2,8,77,130,46,meiji-e,8,2.734
1,2,8,69,116,184,meiji-e,8,1.932
1,2,6,86,144,0-38,meiji-e,8,2.161
1,2,10,97,164,694,meiji-e,8,3.917
1,2,10,93,157,788,meiji-e,8,2.717
1,2,10,97,164,154,meiji-e,8,3.821
1,2,10,144,242,0-303,meiji-e,9,11.838
